Wavelength,Flux,BestFit,SkyFlux
4142.858,11.250,8.838,6.235
4143.812,7.280,8.698,5.969
4144.766,8.334,8.570,5.853
4145.720,8.063,8.374,6.015
4146.675,7.120,8.164,6.288
4147.630,9.012,7.991,6.258
4148.585,6.707,7.812,5.988
4149.540,5.769,7.706,6.232
4150.496,8.878,7.661,6.435
4151.452,6.775,7.619,5.870
4152.408,12.495,7.479,5.707
4153.364,12.418,7.280,5.989
4154.321,7.749,7.173,6.253
4155.277,7.700,6.972,6.723
4156.234,7.012,6.740,7.175
4157.191,5.061,6.690,7.342
4158.149,6.313,6.651,7.198
4159.106,4.843,6.490,7.187
4160.064,6.587,6.435,7.170
4161.022,5.614,6.617,7.082
4161.980,5.414,6.952,6.813
4162.939,9.097,7.295,6.725
4163.897,5.333,7.582,7.252
4164.856,5.717,7.806,8.066
4165.815,8.722,7.986,8.558
4166.775,8.747,8.181,8.908
4167.734,7.569,8.109,8.908
4168.694,8.037,8.089,8.726
4169.654,10.397,8.132,8.393
4170.614,10.141,8.170,7.845
4171.574,8.166,8.315,7.088
4172.535,10.429,8.422,6.890
4173.496,10.814,8.343,7.075
4174.457,7.192,8.189,6.944
4175.418,8.437,8.035,6.567
4176.380,10.757,7.855,6.385
4177.342,9.002,7.613,6.534
4178.304,8.149,7.445,6.761
4179.266,9.226,7.484,6.839
4180.228,5.570,7.493,6.768
4181.191,9.244,7.388,6.592
4182.154,9.923,7.243,6.457
4183.117,8.519,7.132,6.157
4184.080,9.522,7.049,5.879
4185.044,9.727,7.092,5.986
4186.007,7.620,7.102,6.260
4186.971,6.527,7.002,6.277
4187.936,5.234,6.863,5.972
4188.900,3.449,6.773,5.626
4189.865,4.808,6.599,5.598
4190.830,5.375,6.477,6.026
4191.795,9.611,6.446,6.066
4192.760,5.458,6.377,6.050
4193.725,4.443,6.258,6.343
4194.691,7.690,6.228,6.413
4195.657,5.184,6.056,6.264
4196.623,4.731,5.772,6.063
4197.590,5.538,5.618,5.854
4198.556,5.092,5.656,5.441
4199.523,5.329,5.733,4.935
4200.490,4.715,5.676,5.048
4201.458,4.953,5.669,5.617
4202.425,5.065,5.619,5.341
4203.393,5.073,5.674,5.227
4204.361,5.278,5.872,5.531
4205.329,3.601,6.131,5.864
4206.298,4.753,6.384,5.889
4207.266,7.800,6.721,5.963
4208.235,7.653,7.069,6.498
4209.204,5.470,7.273,7.010
4210.174,5.496,7.371,6.912
4211.143,7.255,7.471,6.689
4212.113,8.357,7.593,6.569
4213.083,5.650,7.724,6.133
4214.053,7.531,7.758,5.759
4215.023,7.867,7.710,5.779
4215.994,5.742,7.616,5.845
4216.965,9.037,7.567,5.833
4217.936,10.198,7.678,5.957
4218.907,8.422,7.833,5.811
4219.879,8.797,7.700,5.619
4220.851,9.019,7.587,5.714
4221.823,6.140,7.554,5.933
4222.795,6.263,7.479,5.952
4223.767,10.416,7.362,5.632
4224.740,7.894,7.304,5.239
4225.713,7.730,7.226,5.290
4226.686,6.905,7.186,5.105
4227.659,5.262,7.257,4.790
4228.633,6.968,7.438,4.954
4229.607,9.579,7.644,5.361
4230.581,9.649,7.809,5.433
4231.555,9.683,7.890,5.376
4232.530,10.872,7.950,5.637
4233.504,8.498,7.983,6.044
4234.479,5.569,8.027,6.309
4235.454,7.684,8.152,6.280
4236.430,9.332,8.096,5.994
4237.405,6.416,7.937,5.716
4238.381,6.205,7.740,5.415
4239.357,5.693,7.537,5.236
4240.333,5.543,7.344,5.393
4241.310,6.718,7.251,5.508
4242.287,7.666,7.513,5.435
4243.263,9.240,7.571,5.253
4244.241,11.661,7.594,5.278
4245.218,9.092,7.617,5.739
4246.196,5.975,7.504,6.777
4247.173,7.755,7.284,7.535
4248.152,7.061,7.314,7.536
4249.130,5.820,7.244,6.896
4250.108,3.943,7.149,5.958
4251.087,5.886,7.138,5.497
4252.066,6.776,7.130,5.696
4253.045,7.210,6.968,6.253
4254.025,9.306,6.890,6.455
4255.004,6.759,6.751,6.201
4255.984,7.059,6.716,6.137
4256.964,5.109,6.810,6.496
4257.945,3.536,6.895,6.762
4258.925,7.006,6.898,6.505
4259.906,6.646,7.057,5.821
4260.887,7.367,7.205,5.396
4261.868,7.788,7.355,5.385
4262.849,7.249,7.499,5.368
4263.831,7.646,7.614,5.459
4264.813,7.835,7.711,6.000
4265.795,6.692,7.779,6.570
4266.778,7.554,7.863,6.336
4267.760,9.130,7.964,5.837
4268.743,7.027,8.071,5.916
4269.726,9.160,8.098,6.060
4270.709,6.948,7.994,5.897
4271.693,7.226,8.122,5.379
4272.676,7.633,8.193,5.011
4273.660,9.973,8.199,5.280
4274.644,8.731,8.169,5.608
4275.629,6.230,8.081,5.584
4276.613,8.517,7.980,5.604
4277.598,8.324,8.105,6.363
4278.583,7.730,8.304,6.675
4279.569,9.082,8.548,6.267
4280.554,10.066,8.743,5.935
4281.540,10.788,8.816,5.957
4282.526,8.095,8.835,6.190
4283.512,8.633,8.930,6.422
4284.499,7.614,9.033,6.329
4285.485,6.071,9.019,5.986
4286.472,8.683,8.915,5.662
4287.459,10.399,8.813,5.335
4288.447,9.170,8.756,5.056
4289.434,11.070,8.764,4.887
4290.422,5.562,8.477,4.922
4291.410,9.272,8.285,5.211
4292.398,7.655,8.248,5.718
4293.387,8.800,8.152,5.910
4294.375,12.028,7.979,5.547
4295.364,7.443,8.029,5.267
4296.353,7.570,7.917,5.286
4297.343,9.007,7.895,5.386
4298.332,7.989,7.771,5.311
4299.322,9.080,7.398,5.241
4300.312,8.496,7.134,5.180
4301.303,5.731,6.880,4.825
4302.293,6.023,6.488,4.553
4303.284,5.613,6.069,4.474
4304.275,4.179,5.632,4.276
4305.266,3.267,5.200,4.216
4306.258,3.288,4.929,4.712
4307.249,4.418,4.808,5.017
4308.241,3.729,4.737,4.945
4309.233,3.820,4.962,4.948
4310.226,3.896,5.369,5.074
4311.218,3.334,5.724,4.998
4312.211,5.317,6.062,4.894
4313.204,5.617,6.469,5.455
4314.197,8.684,6.726,6.490
4315.191,6.429,7.034,7.033
4316.184,7.239,7.265,7.191
4317.178,9.747,7.307,7.298
4318.173,8.954,7.404,7.227
4319.167,11.538,7.548,7.119
4320.162,9.474,7.703,7.172
4321.157,7.781,7.929,7.180
4322.152,8.478,8.107,6.783
4323.147,7.409,8.154,6.205
4324.143,8.944,8.236,5.573
4325.138,8.358,8.463,5.047
4326.134,10.173,8.616,5.107
4327.131,10.284,8.611,6.076
4328.127,8.312,8.597,6.379
4329.124,10.759,8.638,6.185
4330.121,9.364,8.574,6.301
4331.118,9.004,8.491,6.322
4332.115,9.319,8.480,5.952
4333.113,8.118,8.332,5.648
4334.111,7.916,8.186,5.727
4335.109,8.522,8.122,6.060
4336.107,6.986,7.860,6.229
4337.106,6.223,7.540,5.807
4338.104,7.607,7.116,5.551
4339.103,7.674,6.795,5.352
4340.103,3.151,6.510,5.465
4341.102,5.283,6.112,5.514
4342.102,7.104,5.683,5.393
4343.102,5.542,5.383,5.415
4344.102,5.624,4.991,5.781
4345.102,5.833,4.792,6.178
4346.103,3.807,4.876,6.404
4347.104,3.507,5.087,6.763
4348.105,5.678,5.275,7.572
4349.106,4.918,5.521,8.179
4350.108,5.404,5.859,8.026
4351.109,6.845,6.159,7.099
4352.111,6.171,6.527,6.164
4353.114,10.122,7.019,5.528
4354.116,6.154,7.418,5.702
4355.119,6.306,7.724,6.195
4356.122,8.596,8.058,6.927
4357.125,8.501,8.401,11.283
4358.128,7.233,8.658,21.233
4359.132,8.972,8.805,32.666
4360.136,10.975,8.905,36.075
4361.140,7.298,8.873,27.568
4362.144,8.976,8.966,16.375
4363.149,7.934,9.068,10.626
4364.153,12.976,9.211,8.285
4365.158,12.942,9.356,7.549
4366.164,12.111,9.300,7.352
4367.169,11.519,9.446,7.412
4368.175,8.081,9.602,7.268
4369.181,11.114,9.650,7.233
4370.187,11.336,9.667,7.288
4371.193,9.439,9.708,7.001
4372.200,12.318,9.720,6.653
4373.207,10.252,9.807,6.602
4374.214,10.254,9.764,6.528
4375.221,11.228,9.690,6.181
4376.229,9.956,9.665,6.408
4377.236,11.158,9.676,6.800
4378.244,7.311,9.701,6.875
4379.253,12.398,9.793,6.792
4380.261,9.826,10.016,6.650
4381.270,9.077,10.120,6.563
4382.279,10.353,10.120,6.423
4383.288,10.225,10.113,6.010
4384.297,10.746,10.004,5.520
4385.307,10.853,9.805,5.269
4386.317,9.773,9.650,5.578
4387.327,8.666,9.650,5.831
4388.337,9.086,9.736,5.914
4389.348,9.113,9.835,5.770
4390.359,12.018,9.976,5.773
4391.370,9.243,10.077,6.083
4392.381,7.711,10.215,6.014
4393.392,11.499,10.353,5.832
4394.404,10.257,10.348,6.011
4395.416,9.362,10.273,6.097
4396.428,11.866,10.412,5.813
4397.441,12.362,10.424,5.683
4398.453,12.396,10.422,5.943
4399.466,11.817,10.412,6.094
4400.479,9.016,10.422,6.297
4401.493,13.605,10.457,6.318
4402.506,13.310,10.461,6.300
4403.520,11.775,10.494,6.607
4404.534,9.199,10.302,6.421
4405.549,11.936,10.189,6.435
4406.563,13.272,10.209,6.715
4407.578,12.710,10.233,6.872
4408.593,11.746,10.266,7.083
4409.608,11.641,10.337,7.421
4410.624,12.394,10.332,7.335
4411.639,10.803,10.226,7.349
4412.655,8.700,10.025,7.706
4413.671,10.744,9.770,7.675
4414.688,8.863,9.551,7.713
4415.704,8.855,9.411,7.660
4416.721,10.015,9.409,7.068
4417.738,10.674,9.493,6.752
4418.756,9.346,9.703,6.836
4419.773,9.926,10.027,7.080
4420.791,10.821,10.279,7.488
4421.809,10.990,10.364,7.766
4422.827,9.465,10.511,7.516
4423.846,9.815,10.497,7.113
4424.865,12.420,10.350,7.042
4425.884,9.447,10.231,7.299
4426.903,9.877,10.103,7.378
4427.922,10.559,9.832,7.220
4428.942,10.249,9.427,7.036
4429.962,10.615,9.214,6.747
4430.982,8.005,9.288,6.310
4432.003,9.465,9.530,6.439
4433.023,10.926,9.795,6.605
4434.044,10.188,10.003,6.523
4435.065,10.468,10.239,6.208
4436.086,12.515,10.372,5.938
4437.108,13.111,10.300,5.911
4438.130,10.968,10.102,6.065
4439.152,9.178,9.990,6.501
4440.174,9.603,9.916,6.808
4441.197,11.168,9.715,6.525
4442.219,11.903,9.621,6.114
4443.242,12.205,9.660,6.131
4444.266,8.592,9.678,6.262
4445.289,10.098,9.639,6.519
4446.313,7.835,9.760,7.030
4447.337,7.903,9.694,7.081
4448.361,9.852,9.527,6.783
4449.385,9.931,9.380,6.693
4450.410,9.659,9.280,6.577
4451.435,10.459,9.258,6.464
4452.460,10.465,9.479,6.456
4453.485,8.932,9.651,6.269
4454.511,10.340,9.733,5.850
4455.536,11.493,9.825,5.544
4456.562,9.622,9.894,5.697
4457.589,8.372,9.753,6.084
4458.615,9.505,9.623,6.119
4459.642,8.922,9.551,5.968
4460.669,9.297,9.594,5.833
