Wavelength,Flux,BestFit,SkyFlux
3942.757,89.414,77.609,8.831
3943.665,91.989,81.601,8.554
3944.573,92.862,83.364,8.431
3945.481,94.405,83.916,8.390
3946.390,93.260,83.710,8.529
3947.299,93.336,83.988,8.757
3948.208,94.114,85.746,8.756
3949.117,93.294,88.505,8.533
3950.026,94.150,89.867,8.330
3950.936,99.669,88.756,8.237
3951.846,92.209,87.937,8.817
3952.756,94.229,88.547,8.398
3953.666,94.315,89.827,7.891
3954.577,94.008,90.290,7.750
3955.487,97.651,89.465,7.590
3956.398,98.369,89.366,7.727
3957.309,95.011,90.261,7.756
3958.221,95.006,90.101,7.605
3959.132,92.584,88.335,7.402
3960.044,90.864,86.704,7.369
3960.956,91.422,87.414,7.440
3961.868,89.196,89.330,7.190
3962.780,91.570,89.522,6.395
3963.693,90.775,87.008,5.844
3964.606,91.003,82.825,5.396
3965.519,87.887,78.852,4.883
3966.432,80.831,76.049,4.525
3967.345,78.515,72.933,4.029
3968.259,74.548,67.907,3.648
3969.173,62.768,60.747,3.283
3970.087,47.609,52.585,3.412
3971.001,34.734,45.516,3.678
3971.915,27.199,41.877,3.904
3972.830,27.776,43.089,4.534
3973.745,42.271,48.249,5.492
3974.660,49.719,55.279,6.243
3975.575,62.449,62.226,6.959
3976.491,75.541,67.941,7.361
3977.407,80.747,72.573,7.483
3978.323,83.879,76.854,7.841
3979.239,87.404,80.180,7.930
3980.155,85.065,82.814,8.156
3981.072,87.000,85.423,8.582
3981.988,94.654,88.326,8.454
3982.905,98.860,90.893,8.237
3983.823,94.089,91.949,8.172
3984.740,98.156,91.418,8.552
3985.658,94.756,90.539,8.166
3986.576,94.785,90.277,7.602
3987.494,96.862,90.767,7.613
3988.412,95.373,91.421,7.812
3989.330,94.200,91.610,8.347
3990.249,97.602,92.268,8.820
3991.168,101.843,93.557,8.281
3992.087,98.544,94.661,8.014
3993.006,96.482,94.980,8.473
3993.926,99.421,95.410,8.574
3994.846,97.803,96.795,8.283
3995.766,102.266,98.101,8.042
3996.686,102.111,98.489,7.916
3997.606,99.694,97.691,7.811
3998.527,97.988,95.977,7.876
3999.447,96.239,94.017,8.293
4000.369,93.062,92.352,8.665
4001.290,93.334,92.425,9.087
4002.211,97.358,94.451,9.145
4003.133,98.481,97.058,8.959
4004.055,97.284,98.563,8.807
4004.977,98.643,98.842,8.493
4005.899,102.884,99.081,8.068
4006.822,100.184,97.922,8.103
4007.744,97.252,95.002,9.093
4008.667,99.206,92.088,9.617
4009.590,101.394,91.725,10.402
4010.514,100.461,94.466,10.501
4011.437,100.222,97.413,10.475
4012.361,100.071,98.861,10.214
4013.285,99.320,99.279,10.370
4014.209,96.824,99.352,10.429
4015.134,97.961,99.240,10.139
4016.058,100.717,98.853,9.817
4016.983,96.613,98.563,9.686
4017.908,101.369,98.713,9.431
4018.833,99.614,98.916,9.535
4019.759,97.545,98.665,10.111
4020.685,99.356,98.196,10.625
4021.610,101.082,98.811,10.829
4022.537,98.817,100.552,10.700
4023.463,102.502,101.383,10.314
4024.389,101.192,101.086,10.278
4025.316,100.172,100.339,10.561
4026.243,98.555,99.586,9.903
4027.170,97.270,98.671,9.540
4028.098,101.657,98.181,9.681
4029.025,99.749,99.360,9.799
4029.953,101.963,101.114,9.331
4030.881,102.886,101.859,8.913
4031.809,99.798,100.724,8.515
4032.738,96.080,97.994,8.469
4033.667,95.705,94.729,8.397
4034.596,95.246,92.794,8.339
4035.525,95.780,92.454,8.099
4036.454,95.542,93.286,8.951
4037.383,95.397,94.787,9.477
4038.313,97.642,96.565,9.876
4039.243,101.254,98.666,9.955
4040.173,99.208,101.052,9.715
4041.104,103.439,102.714,9.633
4042.034,103.883,102.898,10.406
4042.965,102.588,101.641,11.130
4043.896,102.986,99.928,11.480
4044.827,100.150,99.591,11.887
4045.759,99.740,100.005,13.416
4046.691,98.821,98.747,17.548
4047.622,97.584,95.003,20.794
4048.555,93.687,90.849,20.276
4049.487,91.325,90.362,17.145
4050.419,98.554,94.738,13.195
4051.352,99.809,98.782,11.533
4052.285,100.102,100.717,10.958
4053.218,102.601,101.226,9.874
4054.152,103.829,101.120,9.858
4055.085,101.273,100.035,9.956
4056.019,98.496,98.288,9.913
4056.953,99.357,96.701,9.199
4057.887,100.526,95.673,8.623
4058.822,100.955,95.355,8.779
4059.757,99.553,95.367,9.135
