Wavelength,Flux,BestFit,SkyFlux
4226.686,60.737,58.430,4.145
4227.659,51.181,51.199,4.184
4228.633,51.944,50.769,3.892
4229.607,60.363,57.874,4.690
4230.581,64.132,64.990,6.088
4231.555,68.605,68.804,6.520
4232.530,69.674,69.665,6.298
4233.504,65.887,68.584,5.911
4234.479,63.850,67.103,5.684
4235.454,64.612,66.714,5.459
4236.430,66.345,65.906,4.708
4237.405,69.080,64.016,3.944
4238.381,66.883,62.935,3.807
4239.357,62.456,64.697,4.799
4240.333,62.320,64.958,5.510
4241.310,68.658,65.874,5.235
4242.287,70.159,67.410,5.255
4243.263,67.711,68.062,5.595
4244.241,61.627,67.690,5.506
4245.218,66.084,68.062,5.157
4246.196,68.636,68.793,5.342
4247.173,66.762,67.939,6.506
4248.152,66.082,65.988,7.076
4249.130,63.234,64.141,6.255
4250.108,61.402,62.900,4.631
4251.087,63.631,61.880,3.999
4252.066,64.815,61.579,4.946
4253.045,65.120,65.172,6.038
4254.025,64.638,67.408,5.516
4255.004,63.225,65.950,4.681
4255.984,61.710,63.700,4.903
4256.964,64.205,64.956,5.768
4257.945,66.157,67.205,5.919
4258.925,68.722,68.300,5.444
4259.906,68.067,66.390,5.094
4260.887,63.245,62.381,4.586
4261.868,61.826,59.590,4.309
4262.849,63.910,61.279,4.948
4263.831,66.768,65.597,5.511
4264.813,67.348,68.087,5.095
4265.795,71.317,68.889,5.348
4266.778,70.055,69.298,6.225
4267.760,67.929,68.910,6.091
4268.743,65.148,66.680,5.876
4269.726,65.075,66.478,5.704
4270.709,60.869,65.747,5.078
4271.693,64.289,62.453,4.432
4272.676,64.312,58.225,4.346
4273.660,58.386,56.800,4.782
4274.644,62.519,59.506,4.880
4275.629,62.883,59.736,4.967
4276.613,65.219,61.316,5.920
4277.598,65.178,64.292,5.981
4278.583,68.267,67.259,5.195
4279.569,70.584,68.535,5.258
4280.554,66.085,66.946,5.053
4281.540,63.562,64.124,4.897
4282.526,62.548,63.009,5.039
4283.512,64.321,63.209,5.255
4284.499,70.274,64.586,5.354
4285.485,66.656,65.737,5.189
4286.472,60.566,63.903,5.194
4287.459,66.003,61.516,5.538
4288.447,63.852,61.848,4.925
4289.434,62.912,61.296,3.760
4290.422,62.601,58.742,4.276
4291.410,53.191,56.517,4.805
4292.398,57.778,57.441,4.696
4293.387,60.721,60.676,4.749
4294.375,63.796,63.092,5.282
4295.364,63.047,63.468,5.907
4296.353,61.023,62.053,5.933
4297.343,62.073,60.332,5.467
4298.332,63.460,59.514,5.140
4299.322,58.936,56.660,5.245
4300.312,52.764,52.382,4.920
4301.303,53.244,49.782,3.001
4302.293,52.090,49.718,1.925
4303.284,51.220,50.699,2.753
4304.275,51.355,51.055,3.606
4305.266,51.570,52.028,3.613
4306.258,55.422,53.570,3.648
4307.249,58.255,53.582,3.770
4308.241,54.259,51.482,3.487
4309.233,51.964,48.442,3.611
4310.226,50.400,46.704,4.261
4311.218,49.086,48.471,4.784
4312.211,52.098,50.823,4.788
4313.204,56.788,52.881,4.770
4314.197,57.611,54.996,6.347
4315.191,58.070,57.812,7.160
4316.184,59.731,61.637,6.872
4317.178,65.971,65.767,6.752
4318.173,68.645,69.996,6.798
4319.167,71.243,71.459,6.793
4320.162,68.756,70.844,6.626
4321.157,70.834,70.285,6.410
4322.152,68.666,69.749,6.154
4323.147,66.493,67.634,5.443
4324.143,65.151,64.432,4.332
4325.138,63.163,60.165,3.762
4326.134,58.063,56.479,4.240
4327.131,53.439,55.621,5.503
4328.127,59.777,58.744,5.749
4329.124,63.581,65.032,4.989
4330.121,68.333,68.688,5.171
4331.118,66.594,68.679,5.298
4332.115,68.883,68.025,4.799
4333.113,68.467,68.651,5.106
4334.111,62.837,68.913,5.563
4335.109,63.783,68.834,5.780
4336.107,65.354,68.080,5.456
4337.106,65.096,66.642,5.452
4338.104,62.490,63.380,5.757
4339.103,56.919,58.284,5.401
4340.103,49.870,53.140,4.448
4341.102,42.054,46.631,3.967
4342.102,39.150,44.472,4.004
4343.102,48.343,48.540,3.568
4344.102,52.553,54.777,3.789
4345.102,57.293,59.104,4.714
4346.103,59.342,62.033,5.437
4347.104,64.129,64.637,6.366
4348.105,65.047,66.521,6.518
4349.106,69.599,67.507,6.050
4350.108,70.844,68.169,6.107
4351.109,67.237,68.173,6.248
4352.111,65.067,65.630,5.400
4353.114,63.878,61.138,4.677
4354.116,61.517,61.128,5.147
4355.119,62.208,64.073,5.688
4356.122,65.400,66.639,6.314
4357.125,66.155,67.701,10.340
4358.128,65.616,68.605,21.663
4359.132,67.660,68.955,31.977
4360.136,68.216,68.294,30.012
4361.140,64.377,67.692,19.852
4362.144,64.875,68.713,12.473
4363.149,66.610,70.460,8.982
4364.153,67.246,69.882,6.241
4365.158,69.698,70.060,5.282
4366.164,68.259,70.872,6.141
4367.169,64.741,70.761,6.530
4368.175,65.851,69.210,6.308
